key,flightNumber,scheduledDeparture,scheduledArrival,status,draftMode,key:flight
leg-001,AA0000,2000/01/01 00:00,2000/01/01 01:00,ONTIME,true,flight-001
leg-002,ZZ9998,2200/12/31 00:00,2200/12/31 02:00,LANDED,true,flight-002
leg-003,AB1235,2025/01/01 12:00,2025/01/01 15:00,DELAYED,true,flight-003
leg-004,XYZ0001,2025/06/15 06:00,2025/06/15 09:30,CANCELLED,true,flight-004
leg-005,XY9997,2025/07/20 20:10,2025/07/20 23:55,ONTIME,true,flight-005
leg-006,CD3457,2025/08/25 16:00,2025/08/25 19:30,LANDED,true,flight-006
leg-007,BC2346,2025/09/10 07:45,2025/09/10 11:20,CANCELLED,true,flight-007
leg-008,EF4568,2025/10/01 22:00,2025/10/02 06:00,ONTIME,true,flight-008
leg-009,AA1112,2024/02/29 10:00,2024/02/29 14:00,ONTIME,true,flight-009
leg-010,BB2223,2023/03/31 23:59,2023/04/01 03:59,DELAYED,true,flight-010
leg-011,CC3334,2022/12/31 23:59,2023/01/01 03:59,CANCELLED,true,flight-011
leg-012,DD4445,2025/06/30 23:59,2025/07/01 04:00,ONTIME,true,flight-012
leg-013,EE5556,2025/08/31 23:59,2025/09/01 04:00,DELAYED,true,flight-013
leg-014,FF6667,2025/10/25 03:00,2025/10/25 05:00,LANDED,true,flight-014
leg-015,GG7778,2025/12/24 23:59,2025/12/25 07:00,CANCELLED,true,flight-015
leg-016,HH8889,2025/01/01 00:00,2025/01/01 02:00,ONTIME,true,flight-016
leg-017,II9990,2025/07/04 08:00,2025/07/04 12:00,DELAYED,true,flight-017
leg-018,JJ0002,2025/11/01 00:00,2025/11/01 06:00,LANDED,true,flight-018
leg-019,KK1113,2025/04/01 00:01,2025/04/01 04:00,CANCELLED,true,flight-019